obs,group,mean,median,lo,hi,species
1,1,0.4245439320028331,0.4244236444157809,0.3118867495413619,0.5425253859522138,Hemigrapsus oregonensis
2,1,0.4245439320028331,0.4244236444157809,0.3118867495413619,0.5425253859522138,Hemigrapsus oregonensis
3,1,0.4245439320028331,0.4244236444157809,0.3118867495413619,0.5425253859522138,Hemigrapsus oregonensis
4,1,0.4245439320028331,0.4244236444157809,0.3118867495413619,0.5425253859522138,Hemigrapsus oregonensis
5,1,0.4245439320028331,0.4244236444157809,0.3118867495413619,0.5425253859522138,Hemigrapsus oregonensis
6,1,0.4245439320028331,0.4244236444157809,0.3118867495413619,0.5425253859522138,Hemigrapsus oregonensis
7,1,0.4245439320028331,0.4244236444157809,0.3118867495413619,0.5425253859522138,Hemigrapsus oregonensis
8,1,0.4245439320028331,0.4244236444157809,0.3118867495413619,0.5425253859522138,Hemigrapsus oregonensis
9,1,0.4245439320028331,0.4244236444157809,0.3118867495413619,0.5425253859522138,Hemigrapsus oregonensis
1,2,0.25194202838182994,0.24931216715179733,0.16152120246101712,0.354717878363211,Mya
2,2,0.25194202838182994,0.24931216715179733,0.16152120246101712,0.354717878363211,Mya
3,2,0.25194202838182994,0.24931216715179733,0.16152120246101712,0.354717878363211,Mya
4,2,0.25194202838182994,0.24931216715179733,0.16152120246101712,0.354717878363211,Mya
5,2,0.25194202838182994,0.24931216715179733,0.16152120246101712,0.354717878363211,Mya
6,2,0.25194202838182994,0.24931216715179733,0.16152120246101712,0.354717878363211,Mya
7,2,0.25194202838182994,0.24931216715179733,0.16152120246101712,0.354717878363211,Mya
8,2,0.25194202838182994,0.24931216715179733,0.16152120246101712,0.354717878363211,Mya
9,2,0.25194202838182994,0.24931216715179733,0.16152120246101712,0.354717878363211,Mya
1,3,0.323514039615337,0.32223528564246556,0.2414011452616151,0.4124723665714317,Crangon franciscorum
2,3,0.323514039615337,0.32223528564246556,0.2414011452616151,0.4124723665714317,Crangon franciscorum
3,3,0.323514039615337,0.32223528564246556,0.2414011452616151,0.4124723665714317,Crangon franciscorum
4,3,0.323514039615337,0.32223528564246556,0.2414011452616151,0.4124723665714317,Crangon franciscorum
5,3,0.323514039615337,0.32223528564246556,0.2414011452616151,0.4124723665714317,Crangon franciscorum
6,3,0.323514039615337,0.32223528564246556,0.2414011452616151,0.4124723665714317,Crangon franciscorum
7,3,0.323514039615337,0.32223528564246556,0.2414011452616151,0.4124723665714317,Crangon franciscorum
8,3,0.323514039615337,0.32223528564246556,0.2414011452616151,0.4124723665714317,Crangon franciscorum
9,3,0.323514039615337,0.32223528564246556,0.2414011452616151,0.4124723665714317,Crangon franciscorum
