Sample_name,Sample_label,sample,tech,Run,source,EGC_ID,site_month
8,WACO21-503-b,WACO21-503,2,5,Samples,WACO.2021.503,Nahcotta-Sep
9,WACO21-503-c,WACO21-503,3,5,Samples,WACO.2021.503,Nahcotta-Sep
10,WACO21-573-a,WACO21-573,1,5,Samples,WACO.2021.573,Nahcotta-Sep
11,WACO21-573-b,WACO21-573,2,5,Samples,WACO.2021.573,Nahcotta-Sep
12,WACO21-573-c,WACO21-573,3,5,Samples,WACO.2021.573,Nahcotta-Sep
13,WACO21-642-a,WACO21-642,1,5,Samples,WACO.2021.642,Stackpole-Sep
14,WACO21-642-b,WACO21-642,2,5,Samples,WACO.2021.642,Stackpole-Sep
15,WACO21-642-c,WACO21-642,3,5,Samples,WACO.2021.642,Stackpole-Sep
16,WACO21-645-a,WACO21-645,1,5,Samples,WACO.2021.645,Stackpole-Sep
17,WACO21-645-b,WACO21-645,2,5,Samples,WACO.2021.645,Stackpole-Sep
18,WACO21-645-c,WACO21-645,3,5,Samples,WACO.2021.645,Stackpole-Sep
19,WACO21-665-a,WACO21-665,1,5,Samples,WACO.2021.665,Stackpole-Sep
20,WACO21-665-b,WACO21-665,2,5,Samples,WACO.2021.665,Stackpole-Sep
21,WACO21-665-c,WACO21-665,3,5,Samples,WACO.2021.665,Stackpole-Sep
22,WACO21-547-a,WACO21-547,1,5,Samples,WACO.2021.547,Nahcotta-Sep
23,WACO21-547-b,WACO21-547,2,5,Samples,WACO.2021.547,Nahcotta-Sep
24,WACO21-547-c,WACO21-547,3,5,Samples,WACO.2021.547,Nahcotta-Sep
25,WACO21-319-a,WACO21-319,1,5,Samples,WACO.2021.319,Nahcotta-Jul
26,WACO21-319-b,WACO21-319,2,5,Samples,WACO.2021.319,Nahcotta-Jul
27,WACO21-319-c,WACO21-319,3,5,Samples,WACO.2021.319,Nahcotta-Jul
28,WACO21-323-a,WACO21-323,1,5,Samples,WACO.2021.323,Nahcotta-Jul
29,WACO21-323-b,WACO21-323,2,5,Samples,WACO.2021.323,Nahcotta-Jul
30,WACO21-323-c,WACO21-323,3,5,Samples,WACO.2021.323,Nahcotta-Jul
31,WACO21-250-a,WACO21-250,1,5,Samples,WACO.2021.250,Stackpole-Jul
32,WACO21-250-b,WACO21-250,2,5,Samples,WACO.2021.250,Stackpole-Jul
