Sample_name,Sample_label,sample,tech,Run,source,EGC_ID,site_month
1,WACO21-639-a,WACO21-639,1,4,Samples,WACO.2021.639,Stackpole-Sep
2,WACO21-639-b,WACO21-639,2,4,Samples,WACO.2021.639,Stackpole-Sep
3,WACO21-639-c,WACO21-639,3,4,Samples,WACO.2021.639,Stackpole-Sep
4,WACO21-102-a,WACO21-102,1,4,Samples,WACO.2021.102,Oysterville-May
5,WACO21-102-b,WACO21-102,2,4,Samples,WACO.2021.102,Oysterville-May
6,WACO21-102-c,WACO21-102,3,4,Samples,WACO.2021.102,Oysterville-May
7,WACO21-108-a,WACO21-108,1,4,Samples,WACO.2021.108,Oysterville-May
8,WACO21-108-c,WACO21-108,3,4,Samples,WACO.2021.108,Oysterville-May
9,WACO21-134-c,WACO21-134,3,4,Samples,WACO.2021.134,Long Beach-May
10,WACO21-565-a,WACO21-565,1,4,Samples,WACO.2021.565,Nahcotta-Sep
11,WACO21-565-b,WACO21-565,2,4,Samples,WACO.2021.565,Nahcotta-Sep
12,WACO21-565-c,WACO21-565,3,4,Samples,WACO.2021.565,Nahcotta-Sep
16,WACO21-604-a,WACO21-604,1,4,Samples,WACO.2021.604,Oysterville-Sep
17,WACO21-604-b,WACO21-604,2,4,Samples,WACO.2021.604,Oysterville-Sep
18,WACO21-604-c,WACO21-604,3,4,Samples,WACO.2021.604,Oysterville-Sep
20,WACO21-610-b,WACO21-610,2,4,Samples,WACO.2021.610,Oysterville-Sep
21,WACO21-610-c,WACO21-610,3,4,Samples,WACO.2021.610,Oysterville-Sep
22,WACO21-240-a,WACO21-240,1,4,Samples,WACO.2021.240,Stackpole-Jul
23,WACO21-240-b,WACO21-240,2,4,Samples,WACO.2021.240,Stackpole-Jul
24,WACO21-240-c,WACO21-240,3,4,Samples,WACO.2021.240,Stackpole-Jul
25,WACO21-321-a,WACO21-321,1,4,Samples,WACO.2021.321,Nahcotta-Jul
26,WACO21-321-b,WACO21-321,2,4,Samples,WACO.2021.321,Nahcotta-Jul
27,WACO21-321-c,WACO21-321,3,4,Samples,WACO.2021.321,Nahcotta-Jul
41,WACO21-512-a,WACO21-512,1,4,Samples,WACO.2021.512,Nahcotta-Sep
42,WACO21-106-b,WACO21-106,2,4,Samples,WACO.2021.106,Oysterville-May
43,WACO21-512-c,WACO21-512,3,4,Samples,WACO.2021.512,Nahcotta-Sep
48,WACO21-101-b,WACO21-101,2,4,Samples,WACO.2021.101,Oysterville-May
49,WACO21-101-c,WACO21-101,3,4,Samples,WACO.2021.101,Oysterville-May
50,WACO21-104-a,WACO21-104,1,4,Samples,WACO.2021.104,Oysterville-May
51,WACO21-104-b,WACO21-104,2,4,Samples,WACO.2021.104,Oysterville-May
52,WACO21-104-c,WACO21-104,3,4,Samples,WACO.2021.104,Oysterville-May
55,WACO21-134-a,WACO21-134,1,4,Samples,WACO.2021.134,Long Beach-May
56,WACO21-134-b,WACO21-134,2,4,Samples,WACO.2021.134,Long Beach-May
57,WACO21-108-b,WACO21-108,2,4,Samples,WACO.2021.108,Oysterville-May
59,WACO21-128-a,WACO21-128,1,4,Samples,WACO.2021.128,Long Beach-May
60,WACO21-128-b,WACO21-128,2,4,Samples,WACO.2021.128,Long Beach-May
61,WACO21-128-c,WACO21-128,3,4,Samples,WACO.2021.128,Long Beach-May
65,WACO21-613-a,WACO21-613,1,4,Samples,WACO.2021.613,Oysterville-Sep
66,WACO21-613-b,WACO21-613,2,4,Samples,WACO.2021.613,Oysterville-Sep
67,WACO21-613-c,WACO21-613,3,4,Samples,WACO.2021.613,Oysterville-Sep
68,WACO21-612-a,WACO21-612,1,4,Samples,WACO.2021.612,Oysterville-Sep
69,WACO21-612-b,WACO21-612,2,4,Samples,WACO.2021.612,Oysterville-Sep
70,WACO21-612-c,WACO21-612,3,4,Samples,WACO.2021.612,Oysterville-Sep
74,WACO21-617-a,WACO21-617,1,4,Samples,WACO.2021.617,Oysterville-Sep
75,WACO21-617-b,WACO21-617,2,4,Samples,WACO.2021.617,Oysterville-Sep
76,WACO21-617-c,WACO21-617,3,4,Samples,WACO.2021.617,Oysterville-Sep
77,WACO21-600-a,WACO21-600,1,4,Samples,WACO.2021.600,Oysterville-Sep
78,WACO21-600-b,WACO21-600,2,4,Samples,WACO.2021.600,Oysterville-Sep
79,WACO21-600-c,WACO21-600,3,4,Samples,WACO.2021.600,Oysterville-Sep
80,WACO21-607-a,WACO21-607,1,4,Samples,WACO.2021.607,Oysterville-Sep
81,WACO21-607-b,WACO21-607,2,4,Samples,WACO.2021.607,Oysterville-Sep
82,WACO21-607-c,WACO21-607,3,4,Samples,WACO.2021.607,Oysterville-Sep
83,WACO21-309-a,WACO21-309,1,4,Samples,WACO.2021.309,Nahcotta-Jul
84,WACO21-309-b,WACO21-309,2,4,Samples,WACO.2021.309,Nahcotta-Jul
85,WACO21-309-c,WACO21-309,3,4,Samples,WACO.2021.309,Nahcotta-Jul
86,WACO21-310-a,WACO21-310,1,4,Samples,WACO.2021.310,Nahcotta-Jul
87,WACO21-310-b,WACO21-310,2,4,Samples,WACO.2021.310,Nahcotta-Jul
88,WACO21-310-c,WACO21-310,3,4,Samples,WACO.2021.310,Nahcotta-Jul
89,WACO21-632-a,WACO21-632,1,4,Samples,WACO.2021.632,Stackpole-Sep
90,WACO21-632-b,WACO21-632,2,4,Samples,WACO.2021.632,Stackpole-Sep
91,WACO21-632-c,WACO21-632,3,4,Samples,WACO.2021.632,Stackpole-Sep
96,PositiveControl,PositiveControl,1,4,Positives,NA,NA
